PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,Sentence,marked_text
23632198,P14210,Hepatocyte growth factor,multifunctional cell factors,"Hepatocyte growth factor (HGF) is one of the multifunctional cell factors that regulates cellular proliferation, motility and morphogenesis in mammalians. And its medical research has deep significance.","[E1] Hepatocyte growth factor [/E1] (HGF) is one of the [E2] multifunctional cell factors [/E2] that regulates cellular proliferation, motility and morphogenesis in mammalians. And its medical research has deep significance."
23634700,P01584,Interleukin-1 beta,"ICE, caspase 1","Interleukin-1 beta converting enzyme (ICE, caspase 1) is a cysteine protease that processes immature pro-IL-1β into active mature IL-1β.","[E1] Interleukin-1 beta [/E1] converting enzyme ([E2] ICE, caspase 1 [/E2]) is a cysteine protease that processes immature pro-IL-1β into active mature IL-1β."
23634700,P01584,Interleukin-1 beta,cysteine protease,"Interleukin-1 beta converting enzyme (ICE, caspase 1) is a cysteine protease that processes immature pro-IL-1β into active mature IL-1β.","[E1] Interleukin-1 beta [/E1] converting enzyme (ICE, caspase 1) is a [E2] cysteine protease [/E2] that processes immature pro-IL-1β into active mature IL-1β."
23641786,O95760,Interleukin-33,30 kDa cytokine,"Interleukin-33 (IL-33), a 30 kDa cytokine, is a member of IL-1 family.","[E1] Interleukin-33 [/E1] (IL-33), a [E2] 30 kDa cytokine [/E2], is a member of IL-1 family."
23641786,O95760,Interleukin-33,IL-1 family,"Interleukin-33 (IL-33), a 30 kDa cytokine, is a member of IL-1 family.","[E1] Interleukin-33 [/E1] (IL-33), a 30 kDa cytokine, is a member of [E2] IL-1 family [/E2]."
23643609,P22301,Interleukin-10,anti-inflammatory cytokine,Interleukin-10 (IL-10) is an anti-inflammatory cytokine whose genetic polymorphisms are associated with the production of IL-10 and the susceptibility to periodontal diseases.,[E1] Interleukin-10 [/E1] (IL-10) is an [E2] anti-inflammatory cytokine [/E2] whose genetic polymorphisms are associated with the production of IL-10 and the susceptibility to periodontal diseases.
23649624,P40933,Interleukin-15,114-amino acid cytokine,"Interleukin-15 (IL-15), a 114-amino acid cytokine related to IL-2, regulates immune homeostasis and the fate of many lymphocyte subsets.","[E1] Interleukin-15 [/E1] (IL-15), a [E2] 114-amino acid cytokine [/E2] related to IL-2, regulates immune homeostasis and the fate of many lymphocyte subsets."
23649624,P40933,Interleukin-15,IL-2,"Interleukin-15 (IL-15), a 114-amino acid cytokine related to IL-2, regulates immune homeostasis and the fate of many lymphocyte subsets.","[E1] Interleukin-15 [/E1] (IL-15), a 114-amino acid cytokine related to [E2] IL-2 [/E2], regulates immune homeostasis and the fate of many lymphocyte subsets."
23650460,P05112,Interleukin-4,interleukin-10,Interleukin-4 (IL-4) and interleukin-10 (IL-10) are key cytokines whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.,[E1] Interleukin-4 [/E1] (IL-4) and [E2] interleukin-10 [/E2] (IL-10) are key cytokines whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.
23650460,P05112,Interleukin-4,IL-10,Interleukin-4 (IL-4) and interleukin-10 (IL-10) are key cytokines whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.,[E1] Interleukin-4 [/E1] (IL-4) and interleukin-10 ([E2] IL-10 [/E2]) are key cytokines whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.
23650460,P05112,Interleukin-4,cytokines,Interleukin-4 (IL-4) and interleukin-10 (IL-10) are key cytokines whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.,[E1] Interleukin-4 [/E1] (IL-4) and interleukin-10 (IL-10) are key [E2] cytokines [/E2] whose increased production during systemic HIV infection has been associated with decreased cellular immunity during AIDS.
23650722,P03956,Interstitial collagenase,gelatinases,"Interstitial collagenase and gelatinases are matrix metalloproteinases (MMP), which play the key role in tumor invasion and metastasis.","[E1] Interstitial collagenase [/E1] and [E2] gelatinases [/E2] are matrix metalloproteinases (MMP), which play the key role in tumor invasion and metastasis."
23650722,P03956,Interstitial collagenase,matrix metalloproteinases,"Interstitial collagenase and gelatinases are matrix metalloproteinases (MMP), which play the key role in tumor invasion and metastasis.","[E1] Interstitial collagenase [/E1] and gelatinases are [E2] matrix metalloproteinases [/E2] (MMP), which play the key role in tumor invasion and metastasis."
23650722,P03956,Interstitial collagenase,MMP,"Interstitial collagenase and gelatinases are matrix metalloproteinases (MMP), which play the key role in tumor invasion and metastasis.","[E1] Interstitial collagenase [/E1] and gelatinases are matrix metalloproteinases ([E2] MMP [/E2]), which play the key role in tumor invasion and metastasis."
23652560,Q16552,Interleukin-17A,interleukin-17F,Interleukin-17A and interleukin-17F (IL-17A and IL-17F) are candidate genes for chronic inflammatory disease.,[E1] Interleukin-17A [/E1] and [E2] interleukin-17F [/E2] (IL-17A and IL-17F) are candidate genes for chronic inflammatory disease.
23652560,Q16552,Interleukin-17A,IL-17F,Interleukin-17A and interleukin-17F (IL-17A and IL-17F) are candidate genes for chronic inflammatory disease.,[E1] Interleukin-17A [/E1] and interleukin-17F (IL-17A and [E2] IL-17F [/E2]) are candidate genes for chronic inflammatory disease.
23653004,P01375,Tumor necrosis factor,TRAF6,Tumor necrosis factor receptor-associated factor 6 (TRAF6) is a key adaptor molecule for the tumor necrosis factor superfamily and Toll-like/interleukin-1 receptor superfamily.,[E1] Tumor necrosis factor [/E1] receptor-associated factor 6 ([E2] TRAF6 [/E2]) is a key adaptor molecule for the tumor necrosis factor superfamily and Toll-like/interleukin-1 receptor superfamily.
23653004,P01375,Tumor necrosis factor,tumor necrosis factor superfamily,Tumor necrosis factor receptor-associated factor 6 (TRAF6) is a key adaptor molecule for the tumor necrosis factor superfamily and Toll-like/interleukin-1 receptor superfamily.,[E1] Tumor necrosis factor [/E1] receptor-associated factor 6 (TRAF6) is a key adaptor molecule for the [E2] tumor necrosis factor superfamily [/E2] and Toll-like/interleukin-1 receptor superfamily.
23653004,P01375,Tumor necrosis factor,Toll-like/interleukin-1 receptor superfamily,Tumor necrosis factor receptor-associated factor 6 (TRAF6) is a key adaptor molecule for the tumor necrosis factor superfamily and Toll-like/interleukin-1 receptor superfamily.,[E1] Tumor necrosis factor [/E1] receptor-associated factor 6 (TRAF6) is a key adaptor molecule for the tumor necrosis factor superfamily and [E2] Toll-like/interleukin-1 receptor superfamily [/E2].
23657814,P14210,Hepatocyte growth factor,multipotent endogenous repair factor,"Hepatocyte growth factor (HGF) is a multipotent endogenous repair factor secreted primarily by mesenchymal cells with effects on cells expressing its receptor, Met.","[E1] Hepatocyte growth factor [/E1] (HGF) is a [E2] multipotent endogenous repair factor [/E2] secreted primarily by mesenchymal cells with effects on cells expressing its receptor, Met."
23667780,P05231,Interleukin-6,proinflammatory cytokine,Interleukin-6 (IL-6) is a proinflammatory cytokine that may play multiple roles in the pathogenesis of traumatic brain injury (TBI).,[E1] Interleukin-6 [/E1] (IL-6) is a [E2] proinflammatory cytokine [/E2] that may play multiple roles in the pathogenesis of traumatic brain injury (TBI).
23674845,P05231,Interleukin-6,pleiotropic cytokine,"Interleukin-6 (IL-6) is a pleiotropic cytokine which is expressed in many inflammatory cells in response to different types of stimuli, regulating a number of biological processes.","[E1] Interleukin-6 [/E1] (IL-6) is a [E2] pleiotropic cytokine [/E2] which is expressed in many inflammatory cells in response to different types of stimuli, regulating a number of biological processes."
23676005,P05231,Interleukin-6,C-creative protein,Levels of Interleukin-6 (IL-6) and C-creative protein (CRP) indicating systemic inflammation are known to be elevated in chronic diseases including chronic obstructive pulmonary disease (COPD) and depression.,Levels of [E1] Interleukin-6 [/E1] (IL-6) and [E2] C-creative protein [/E2] (CRP) indicating systemic inflammation are known to be elevated in chronic diseases including chronic obstructive pulmonary disease (COPD) and depression.
23676005,P05231,Interleukin-6,CRP,Levels of Interleukin-6 (IL-6) and C-creative protein (CRP) indicating systemic inflammation are known to be elevated in chronic diseases including chronic obstructive pulmonary disease (COPD) and depression.,Levels of [E1] Interleukin-6 [/E1] (IL-6) and C-creative protein ([E2] CRP [/E2]) indicating systemic inflammation are known to be elevated in chronic diseases including chronic obstructive pulmonary disease (COPD) and depression.
23692837,P01375,Tumor necrosis factor,55-kDa receptor,Tumor necrosis factor receptor-associated periodic syndrome (TRAPS) is an autosomal dominant autoinflammatory disorder caused by mutations in the TNFRSF1A gene encoding the 55-kDa receptor for tumor necrosis factor (TNF)-α.,[E1] Tumor necrosis factor [/E1] receptor-associated periodic syndrome (TRAPS) is an autosomal dominant autoinflammatory disorder caused by mutations in the TNFRSF1A gene encoding the [E2] 55-kDa receptor [/E2] for tumor necrosis factor (TNF)-α.
23697558,P10145,Interleukin-8,chemokine,Interleukin-8 (IL-8) is a chemokine that has an autocrine and/or paracrine tumor-promoting role and significant potential as a prognostic and/or predictive cancer biomarker.,[E1] Interleukin-8 [/E1] (IL-8) is a [E2] chemokine [/E2] that has an autocrine and/or paracrine tumor-promoting role and significant potential as a prognostic and/or predictive cancer biomarker.
23704929,P01584,Interleukin-1 beta,pro-inflammatory cytokine,"Interleukin-1 beta (IL-1β), a pro-inflammatory cytokine, is emerging as a key mediator of carcinogenesis that characterizes host-environment interactions.","[E1] Interleukin-1 beta [/E1] (IL-1β), a [E2] pro-inflammatory cytokine [/E2], is emerging as a key mediator of carcinogenesis that characterizes host-environment interactions."
23707791,P05231,Interleukin-6,insulin,"Interleukin-6 (IL-6) induces inflammatory signalling in liver, leading to impaired insulin action in hepatocytes.","[E1] Interleukin-6 [/E1] (IL-6) induces inflammatory signalling in liver, leading to impaired [E2] insulin [/E2] action in hepatocytes."
23721367,Q16552,Interleukin-17A,pro-inflammatory cytokine,"Interleukin-17A (IL-17A), a pro-inflammatory cytokine acting on neutrophil recruitment, is known to play an important role during Mycobacterium tuberculosis infection, but the role of IL-17A receptor signalling in immune defence against this intracellular pathogen remains poorly documented.","[E1] Interleukin-17A [/E1] (IL-17A), a [E2] pro-inflammatory cytokine [/E2] acting on neutrophil recruitment, is known to play an important role during Mycobacterium tuberculosis infection, but the role of IL-17A receptor signalling in immune defence against this intracellular pathogen remains poorly documented."
23721367,Q16552,Interleukin-17A,IL-17A receptor,"Interleukin-17A (IL-17A), a pro-inflammatory cytokine acting on neutrophil recruitment, is known to play an important role during Mycobacterium tuberculosis infection, but the role of IL-17A receptor signalling in immune defence against this intracellular pathogen remains poorly documented.","[E1] Interleukin-17A [/E1] (IL-17A), a pro-inflammatory cytokine acting on neutrophil recruitment, is known to play an important role during Mycobacterium tuberculosis infection, but the role of [E2] IL-17A receptor [/E2] signalling in immune defence against this intracellular pathogen remains poorly documented."
23722408,P14210,Hepatocyte growth factor,c‑Met receptor,"Hepatocyte growth factor (HGF), acting through the c‑Met receptor, plays an important role in solid tumors.","[E1] Hepatocyte growth factor [/E1] (HGF), acting through the [E2] c‑Met receptor [/E2], plays an important role in solid tumors."
23723997,P14210,Hepatocyte growth factor,c-Met,"Hepatocyte growth factor (HGF) and its receptor, c-Met, are important regulators of growth and differentiation of healthy hepatocytes.","[E1] Hepatocyte growth factor [/E1] (HGF) and its receptor, [E2] c-Met [/E2], are important regulators of growth and differentiation of healthy hepatocytes."
23732870,P01579,Interferon gamma,cytokine,Interferon gamma (IFNγ) is a cytokine involved in many anti-viral and immunoregulatory processes.,[E1] Interferon gamma [/E1] (IFNγ) is a [E2] cytokine [/E2] involved in many anti-viral and immunoregulatory processes.
23732870,P01579,Interferon gamma,immunoregulatory,Interferon gamma (IFNγ) is a cytokine involved in many anti-viral and immunoregulatory processes.,[E1] Interferon gamma [/E1] (IFNγ) is a cytokine involved in many anti-viral and [E2] immunoregulatory [/E2] processes.
23744438,Q969D9,Thymic stromal lymphopoietin,cytokine,"Thymic stromal lymphopoietin (TSLP) is a cytokine implicated in the pathogenesis of allergic diseases such as asthma, atopic dermatitis and allergic rhinitis.","[E1] Thymic stromal lymphopoietin [/E1] (TSLP) is a [E2] cytokine [/E2] implicated in the pathogenesis of allergic diseases such as asthma, atopic dermatitis and allergic rhinitis."
23749100,P22301,Interleukin-10,pleiotropic cytokine,Interleukin-10 (IL-10) is a pleiotropic cytokine and plays an important role in the pathogenesis of systemic lupus erythematosus (SLE).,[E1] Interleukin-10 [/E1] (IL-10) is a [E2] pleiotropic cytokine [/E2] and plays an important role in the pathogenesis of systemic lupus erythematosus (SLE).
23762858,P05231,Interleukin-6,multifunctional cytokine,"Interleukin-6, a multifunctional cytokine, contributes to tumor cell proliferation and differentiation.","[E1] Interleukin-6 [/E1], a [E2] multifunctional cytokine [/E2], contributes to tumor cell proliferation and differentiation."
23768103,P05112,Interleukin-4,pleiotropic cytokine,Interleukin-4 (IL-4) is a pleiotropic cytokine that plays an important role in the immune system.,[E1] Interleukin-4 [/E1] (IL-4) is a [E2] pleiotropic cytokine [/E2] that plays an important role in the immune system.
23769880,Q14116,Interleukin-18,cytokine,Interleukin-18 (IL-18) plays an important role in mediating cytokine cascade leading to coronary artery lesions (CALs) in Kawasaki disease (KD).,[E1] Interleukin-18 [/E1] (IL-18) plays an important role in mediating [E2] cytokine [/E2] cascade leading to coronary artery lesions (CALs) in Kawasaki disease (KD).
23782174,P05231,Interleukin-6,receptor complex,Interleukin-6 (IL-6) and its receptor complex participate in a number of critical biological activities through several signaling pathways.,[E1] Interleukin-6 [/E1] (IL-6) and its [E2] receptor complex [/E2] participate in a number of critical biological activities through several signaling pathways.
23792018,P01579,Interferon gamma,Th1 cytokine,"Interferon gamma (IFNγ) is a key Th1 cytokine, with a principal role in the immune response against intracellular organisms such as Chlamydia.","[E1] Interferon gamma [/E1] (IFNγ) is a key [E2] Th1 cytokine [/E2], with a principal role in the immune response against intracellular organisms such as Chlamydia."
23794112,Q14116,Interleukin-18,cytokine,Interleukin-18 (IL-18) is a key cytokine responsible for immune response and involved in the process of cancer development.,[E1] Interleukin-18 [/E1] (IL-18) is a key [E2] cytokine [/E2] responsible for immune response and involved in the process of cancer development.
23799412,Q14116,Interleukin-18,immunostimulatory cytokine,Interleukin-18 (IL-18) is an immunostimulatory cytokine with antitumor activity in preclinical models.,[E1] Interleukin-18 [/E1] (IL-18) is an [E2] immunostimulatory cytokine [/E2] with antitumor activity in preclinical models.
23800159,P04141,Granulocyte-macrophage colony-stimulating factor,cytokine,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a cytokine that is essential for growth and development of progenitors of granulocytes and monocytes/macrophages.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) is a [E2] cytokine [/E2] that is essential for growth and development of progenitors of granulocytes and monocytes/macrophages.
23801157,P05231,Interleukin-6,adipokines,"During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), Interleukin-6 (IL-6), and adiponectin, which mediate insulin resistance.","During the development of obesity, adipose tissue releases a host of different [E2] adipokines [/E2] and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), [E1] Interleukin-6 [/E1] (IL-6), and adiponectin, which mediate insulin resistance."
23801157,P05231,Interleukin-6,inflammatory cytokines,"During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), Interleukin-6 (IL-6), and adiponectin, which mediate insulin resistance.","During the development of obesity, adipose tissue releases a host of different adipokines and [E2] inflammatory cytokines [/E2], such as leptin, resistin, tumor necrosis factor α (TNF-α), [E1] Interleukin-6 [/E1] (IL-6), and adiponectin, which mediate insulin resistance."
23801157,P05231,Interleukin-6,tumor necrosis factor α,"During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), Interleukin-6 (IL-6), and adiponectin, which mediate insulin resistance.","During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, [E2] tumor necrosis factor α [/E2] (TNF-α), [E1] Interleukin-6 [/E1] (IL-6), and adiponectin, which mediate insulin resistance."
23801157,P05231,Interleukin-6,insulin,"During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), Interleukin-6 (IL-6), and adiponectin, which mediate insulin resistance.","During the development of obesity, adipose tissue releases a host of different adipokines and inflammatory cytokines, such as leptin, resistin, tumor necrosis factor α (TNF-α), [E1] Interleukin-6 [/E1] (IL-6), and adiponectin, which mediate [E2] insulin [/E2] resistance."
23804233,P01375,Tumor necrosis factor,cytokine regulator,Tumor necrosis factor (TNF)-alpha is a key cytokine regulator of bone and mediates inflammatory bone loss.,[E1] Tumor necrosis factor [/E1] (TNF)-alpha is a key [E2] cytokine regulator [/E2] of bone and mediates inflammatory bone loss.
23805408,P15692,Vascular endothelial growth factor A,VEGF-A,Vascular endothelial growth factor A (VEGF-A) is classically viewed as a key factor in angiogenesis and tissue remodeling.,[E1] Vascular endothelial growth factor A [/E1] ([E2] VEGF-A [/E2]) is classically viewed as a key factor in angiogenesis and tissue remodeling.
23810153,Q969D9,Thymic stromal lymphopoietin,cytokine,Thymic stromal lymphopoietin (TSLP) pathway blockade is a potential strategy for asthma treatment because the main activities of TSLP are activation of myeloid dendritic cells (mDCs) and modulation of cytokine production by mast cells.,[E1] Thymic stromal lymphopoietin [/E1] (TSLP) pathway blockade is a potential strategy for asthma treatment because the main activities of TSLP are activation of myeloid dendritic cells (mDCs) and modulation of [E2] cytokine [/E2] production by mast cells.
23813049,Q16552,Interleukin-17A,proinflammatory cytokine,"Interleukin-17A (IL-17A) is a potent proinflammatory cytokine and the signature cytokine of Th17 cells, a subset which is involved in cytokine and chemokine production, neutrophil recruitment, promotion of T cell priming, and antibody production.","[E1] Interleukin-17A [/E1] (IL-17A) is a potent [E2] proinflammatory cytokine [/E2] and the signature cytokine of Th17 cells, a subset which is involved in cytokine and chemokine production, neutrophil recruitment, promotion of T cell priming, and antibody production."
23813049,Q16552,Interleukin-17A,cytokine,"Interleukin-17A (IL-17A) is a potent proinflammatory cytokine and the signature cytokine of Th17 cells, a subset which is involved in cytokine and chemokine production, neutrophil recruitment, promotion of T cell priming, and antibody production.","[E1] Interleukin-17A [/E1] (IL-17A) is a potent proinflammatory [E2] cytokine [/E2] and the signature cytokine of Th17 cells, a subset which is involved in cytokine and chemokine production, neutrophil recruitment, promotion of T cell priming, and antibody production."
23813049,Q16552,Interleukin-17A,chemokine,"Interleukin-17A (IL-17A) is a potent proinflammatory cytokine and the signature cytokine of Th17 cells, a subset which is involved in cytokine and chemokine production, neutrophil recruitment, promotion of T cell priming, and antibody production.","[E1] Interleukin-17A [/E1] (IL-17A) is a potent proinflammatory cytokine and the signature cytokine of Th17 cells, a subset which is involved in cytokine and [E2] chemokine [/E2] production, neutrophil recruitment, promotion of T cell priming, and antibody production."
23830893,P05231,Interleukin-6,pro-inflammatory cytokine,"The pro-inflammatory cytokine, Interleukin-6 (IL-6), has not yet been fully characterised in the model macropod, Macropus eugenii, due to incomplete sequence information in publically available genome databases.","The [E2] pro-inflammatory cytokine [/E2], [E1] Interleukin-6 [/E1] (IL-6), has not yet been fully characterised in the model macropod, Macropus eugenii, due to incomplete sequence information in publically available genome databases."
23855553,O95760,Interleukin-33,IL-1 family cytokine,"Interleukin-33 is an IL-1 family cytokine which signals via its T1/ST2 receptor, and acts as a key regulator of inflammation, notably the type-2 response implicated in asthma.","[E1] Interleukin-33 [/E1] is an [E2] IL-1 family cytokine [/E2] which signals via its T1/ST2 receptor, and acts as a key regulator of inflammation, notably the type-2 response implicated in asthma."
23855553,O95760,Interleukin-33,T1/ST2 receptor,"Interleukin-33 is an IL-1 family cytokine which signals via its T1/ST2 receptor, and acts as a key regulator of inflammation, notably the type-2 response implicated in asthma.","[E1] Interleukin-33 [/E1] is an IL-1 family cytokine which signals via its [E2] T1/ST2 receptor [/E2], and acts as a key regulator of inflammation, notably the type-2 response implicated in asthma."
23859697,P05231,Interleukin-6,multifunctional cytokine,Interleukin-6 is a multifunctional cytokine that has been shown to be increased in some pathological conditions involving the respiratory system such as those experimentally induced in animals or spontaneously occurring in humans.,[E1] Interleukin-6 [/E1] is a [E2] multifunctional cytokine [/E2] that has been shown to be increased in some pathological conditions involving the respiratory system such as those experimentally induced in animals or spontaneously occurring in humans.
23867612,P22301,Interleukin-10,immunomodulatory cytokine,Interleukin-10 (IL-10) is an important immunomodulatory cytokine that plays an obligate role in regulating inflammatory responses.,[E1] Interleukin-10 [/E1] (IL-10) is an important [E2] immunomodulatory cytokine [/E2] that plays an obligate role in regulating inflammatory responses.
23869227,P22301,Interleukin-10,tumor necrosis factor-α (,Interleukin-10 (IL-10) and tumor necrosis factor-α (TNF-α) are key anti- and pro-inflammatory mediators elicited during the host immune response to Mycobacterium tuberculosis (Mtb).,[E1] Interleukin-10 [/E1] (IL-10) and [E2] tumor necrosis factor-α ( [/E2]TNF-α) are key anti- and pro-inflammatory mediators elicited during the host immune response to Mycobacterium tuberculosis (Mtb).
23869227,P22301,Interleukin-10,pro-inflammatory mediators,Interleukin-10 (IL-10) and tumor necrosis factor-α (TNF-α) are key anti- and pro-inflammatory mediators elicited during the host immune response to Mycobacterium tuberculosis (Mtb).,[E1] Interleukin-10 [/E1] (IL-10) and tumor necrosis factor-α (TNF-α) are key anti- and [E2] pro-inflammatory mediators [/E2] elicited during the host immune response to Mycobacterium tuberculosis (Mtb).
23873135,P01375,Tumor necrosis factor,TNF super family,"Tumor necrosis factor (TNF)-like weak inducer of apoptosis (TWEAK) is a member of the TNF super family that controls many cellular activities including proliferation, migration, differentiation, apoptosis, and inflammation by binding to fibroblast growth factor-inducible 14 (Fn14), a highly inducible cell surface receptor.","[E1] Tumor necrosis factor [/E1] (TNF)-like weak inducer of apoptosis (TWEAK) is a member of the [E2] TNF super family [/E2] that controls many cellular activities including proliferation, migration, differentiation, apoptosis, and inflammation by binding to fibroblast growth factor-inducible 14 (Fn14), a highly inducible cell surface receptor."
23873135,P01375,Tumor necrosis factor,fibroblast growth factor-inducible 14,"Tumor necrosis factor (TNF)-like weak inducer of apoptosis (TWEAK) is a member of the TNF super family that controls many cellular activities including proliferation, migration, differentiation, apoptosis, and inflammation by binding to fibroblast growth factor-inducible 14 (Fn14), a highly inducible cell surface receptor.","[E1] Tumor necrosis factor [/E1] (TNF)-like weak inducer of apoptosis (TWEAK) is a member of the TNF super family that controls many cellular activities including proliferation, migration, differentiation, apoptosis, and inflammation by binding to [E2] fibroblast growth factor-inducible 14 [/E2] (Fn14), a highly inducible cell surface receptor."
23884888,P60568,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a critical cytokine for the homeostasis and function of forkhead box p3-expressing regulatory T cells (Foxp3(+)Tregs).,[E1] Interleukin-2 [/E1] (IL-2) is a critical [E2] cytokine [/E2] for the homeostasis and function of forkhead box p3-expressing regulatory T cells (Foxp3(+)Tregs).
23896015,P05231,Interleukin-6,proinflammatory cytokine,Interleukin-6 (IL-6) is a proinflammatory cytokine that plays a central role in the pathogenesis of sepsis.,[E1] Interleukin-6 [/E1] (IL-6) is a [E2] proinflammatory cytokine [/E2] that plays a central role in the pathogenesis of sepsis.
23900149,P01375,Tumor necrosis factor,TNF superfamily,Tumor necrosis factor (TNF)-like weak inducer of apoptosis (TWEAK) was recently identified as a member of the TNF superfamily of structurally related cytokines.,[E1] Tumor necrosis factor [/E1] (TNF)-like weak inducer of apoptosis (TWEAK) was recently identified as a member of the [E2] TNF superfamily [/E2] of structurally related cytokines.
23900149,P01375,Tumor necrosis factor,cytokines,Tumor necrosis factor (TNF)-like weak inducer of apoptosis (TWEAK) was recently identified as a member of the TNF superfamily of structurally related cytokines.,[E1] Tumor necrosis factor [/E1] (TNF)-like weak inducer of apoptosis (TWEAK) was recently identified as a member of the TNF superfamily of structurally related [E2] cytokines [/E2].
23906629,P05231,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL6) is a multifunctional cytokine that regulates immune and inflammatory responses.,[E1] Interleukin-6 [/E1] (IL6) is a [E2] multifunctional cytokine [/E2] that regulates immune and inflammatory responses.
23908590,P01375,Tumor necrosis factor,TRADD,Tumor necrosis factor receptor 1 (TNFR1)-associated death domain protein (TRADD) is an important adaptor in TNFR1 signaling and has an essential role in nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation and survival signaling.,[E1] Tumor necrosis factor [/E1] receptor 1 (TNFR1)-associated death domain protein ([E2] TRADD [/E2]) is an important adaptor in TNFR1 signaling and has an essential role in nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation and survival signaling.
23908590,P01375,Tumor necrosis factor,TNFR1,Tumor necrosis factor receptor 1 (TNFR1)-associated death domain protein (TRADD) is an important adaptor in TNFR1 signaling and has an essential role in nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation and survival signaling.,[E1] Tumor necrosis factor [/E1] receptor 1 ([E2] TNFR1 [/E2])-associated death domain protein (TRADD) is an important adaptor in TNFR1 signaling and has an essential role in nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation and survival signaling.
23908590,P01375,Tumor necrosis factor,nuclear factor kappa-light-chain-enhancer of activated B cells,Tumor necrosis factor receptor 1 (TNFR1)-associated death domain protein (TRADD) is an important adaptor in TNFR1 signaling and has an essential role in nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) activation and survival signaling.,[E1] Tumor necrosis factor [/E1] receptor 1 (TNFR1)-associated death domain protein (TRADD) is an important adaptor in TNFR1 signaling and has an essential role in [E2] nuclear factor kappa-light-chain-enhancer of activated B cells [/E2] (NF-κB) activation and survival signaling.
23912708,P01375,Tumor necrosis factor,TRAIL,Tumor necrosis factor-related apoptosis-inducing ligand/Apo2 ligand (TRAIL or Apo2L) is a member of the tumor necrosis factor superfamily that induces apoptosis in various cancer cell types but not in most normal cells.,[E1] Tumor necrosis factor [/E1]-related apoptosis-inducing ligand/Apo2 ligand ([E2] TRAIL [/E2] or Apo2L) is a member of the tumor necrosis factor superfamily that induces apoptosis in various cancer cell types but not in most normal cells.
23912708,P01375,Tumor necrosis factor,tumor necrosis factor superfamily,Tumor necrosis factor-related apoptosis-inducing ligand/Apo2 ligand (TRAIL or Apo2L) is a member of the tumor necrosis factor superfamily that induces apoptosis in various cancer cell types but not in most normal cells.,[E1] Tumor necrosis factor [/E1]-related apoptosis-inducing ligand/Apo2 ligand (TRAIL or Apo2L) is a member of the [E2] tumor necrosis factor superfamily [/E2] that induces apoptosis in various cancer cell types but not in most normal cells.
23921508,P05231,Interleukin-6,IL-6 receptor,"Interleukin-6 (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble gp130 (sgp130).","[E1] Interleukin-6 [/E1] (IL-6) signalling involves the interplay between IL-6, soluble [E2] IL-6 receptor [/E2] (sIL-6R) and soluble gp130 (sgp130)."
23921508,P05231,Interleukin-6,sIL-6R,"Interleukin-6 (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble gp130 (sgp130).","[E1] Interleukin-6 [/E1] (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor ([E2] sIL-6R [/E2]) and soluble gp130 (sgp130)."
23921508,P05231,Interleukin-6,gp130,"Interleukin-6 (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble gp130 (sgp130).","[E1] Interleukin-6 [/E1] (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble [E2] gp130 [/E2] (sgp130)."
23921508,P05231,Interleukin-6,sgp130,"Interleukin-6 (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble gp130 (sgp130).","[E1] Interleukin-6 [/E1] (IL-6) signalling involves the interplay between IL-6, soluble IL-6 receptor (sIL-6R) and soluble gp130 ([E2] sgp130 [/E2])."
